iter	Passed	Remaining
0	5146	509491
1	9698	475248
2	14461	467576
3	19287	462889
4	24535	466179
5	30033	470532
6	34272	455339
7	38291	440346
8	41255	417139
9	44236	398128
10	46859	379136
11	50338	369150
12	54746	366382
13	58168	357317
14	61261	347149
15	64251	337320
16	67210	328144
17	70203	319817
18	73318	312569
19	76856	307424
20	80124	301419
21	82637	292988
22	85600	286575
23	88368	279832
24	91015	273046
25	93017	264743
26	95920	259340
27	99432	255684
28	102932	252008
29	105846	246975
30	109107	242851
31	112655	239393
32	116067	235652
33	118932	230868
34	121983	226540
35	124916	222073
36	127748	217517
37	131441	214456
38	134762	210782
39	137459	206189
40	140089	201592
41	143078	197585
42	145912	193419
43	149506	190281
44	152555	186456
45	155550	182602
46	159045	179349
47	162607	176157
48	167228	174054
49	170985	170985
50	175458	168577
51	179065	165291
52	181802	161221
53	185031	157619
54	188587	154298
55	193115	151733
56	195976	147841
57	199649	144573
58	203218	141219
59	207379	138253
60	210681	134697
61	213017	130558
62	215552	126594
63	218898	123130
64	222457	119784
65	227395	117143
66	231402	113974
67	236298	111199
68	240681	108132
69	244487	104780
70	248211	101381
71	251368	97754
72	254478	94122
73	258286	90749
74	262551	87517
75	266427	84135
76	269261	80428
77	272754	76930
78	275296	73180
79	278827	69706
80	281529	66037
81	284475	62445
82	287153	58814
83	290054	55248
84	292467	51611
85	294967	48017
86	298351	44581
87	301277	41083
88	304143	37590
89	306803	34089
90	309785	30638
91	312142	27142
92	314962	23706
93	317449	20262
94	320272	16856
95	323085	13461
96	326070	10084
97	328878	6711
98	331106	3344
99	332481	0
