ID,bug_type,species,nb_pixels_ratio,image_symmetry_index,mask_bb_symmetry_index,roundness,mean_centroid_distance,std_centroid_distance,max_centroid_distance,min_centroid_distance,skewness_centroid_distance,kurtosis_centroid_distance,aspect_ratio,mask_area,mask_perimeter,mask_compactness,hull_area,hull_to_insect_area_ratio,hull_convexity,hull_triangle_similarity,ellipse_angle,ellipse_axis_ratio,ellipse_eccentricity,ellipse_variance,axis_least_inertia_x,axis_least_inertia_y,rectangularity,body_parts_mean_length,body_parts_max_length,body_parts_std_length,body_parts_spread,rest_entropy,mask_entropy,red_mask_min,red_rest_min,red_mask_max,red_rest_max,red_mask_mean,red_rest_mean,red_mask_median,red_rest_median,red_mask_std,red_rest_std,red_mask_q1,red_rest_q1,red_mask_q3,red_rest_q3,green_mask_min,green_rest_min,green_mask_max,green_rest_max,green_mask_mean,green_rest_mean,green_mask_median,green_rest_median,green_mask_std,green_rest_std,green_mask_q1,green_rest_q1,green_mask_q3,green_rest_q3,blue_mask_min,blue_rest_min,blue_mask_max,blue_rest_max,blue_mask_mean,blue_rest_mean,blue_mask_median,blue_rest_median,blue_mask_std,blue_rest_std,blue_mask_q1,blue_rest_q1,blue_mask_q3,blue_rest_q3,hue_mask_min,hue_rest_min,hue_mask_max,hue_rest_max,hue_mask_mean,hue_rest_mean,hue_mask_median,hue_rest_median,hue_mask_std,hue_rest_std,hue_mask_q1,hue_rest_q1,hue_mask_q3,hue_rest_q3,saturation_mask_min,saturation_rest_min,saturation_mask_max,saturation_rest_max,saturation_mask_mean,saturation_rest_mean,saturation_mask_median,saturation_rest_median,saturation_mask_std,saturation_rest_std,saturation_mask_q1,saturation_rest_q1,saturation_mask_q3,saturation_rest_q3,value_mask_min,value_rest_min,value_mask_max,value_rest_max,value_mask_mean,value_rest_mean,value_mask_median,value_rest_median,value_mask_std,value_rest_std,value_mask_q1,value_rest_q1,value_mask_q3,value_rest_q3,fourier_descriptor_real_0,fourier_descriptor_imag_0,fourier_descriptor_real_1,fourier_descriptor_imag_1,fourier_descriptor_real_2,fourier_descriptor_imag_2,fourier_descriptor_real_3,fourier_descriptor_imag_3,fourier_descriptor_real_4,fourier_descriptor_imag_4,fourier_descriptor_real_5,fourier_descriptor_imag_5,fourier_descriptor_real_6,fourier_descriptor_imag_6,fourier_descriptor_real_7,fourier_descriptor_imag_7,fourier_descriptor_real_8,fourier_descriptor_imag_8,fourier_descriptor_real_9,fourier_descriptor_imag_9,orthogonal_lines_ratio
1,Bee,Apis mellifera,0.007198875,65.84251786241677,70.05927039102565,0.0467058999381108,245.17233819884305,55.34848322620877,362.548638631545,127.67198139687169,-0.0579297389744079,-0.8178330326430361,0.8110599078341014,172773,6818,0.0467058999381108,265227.5,0.6514143518300327,0.2869689453541389,0.8264080614447854,4.100518226623535,0.8783757685003379,0.4779707201403038,0.0999354090546837,-0.8407489876348291,0.5414251008135935,0.5026445328864684,434.1791646877925,1566.4692667722702,545.0789395538206,252.4521957325786,7.460814362435567,6.967512585387207,5,1,203,255,66.7505223617116,107.40357709270997,54,128,47.329371755675865,61.073310833436544,26,43,99,156,3,2,199,255,53.38702806572786,105.37812289277304,36,123,44.41560116629213,58.06868371870748,17,49,81,151,0,0,186,255,38.78619344457757,84.57306765071739,23,85,35.298702396410384,57.19888974376614,13,28,54,132,0,0,178,179,22.955340244135368,42.77688507353373,14,27,35.49440206131831,46.0763753288704,10,21,20,38,0,0,255,255,113.963825366232,66.07887174617508,115.0,51,41.47447044013112,50.35126700214053,83,26,143,102,5,3,203,255,66.82640806144478,109.1760032755805,55,128,47.29503853548834,59.73759500694224,26,50,99,156,0.8023503511725862,0.5968533437731812,-0.0253491665417854,-0.0086286440797212,-0.0137204514779027,0.006373039192764,-0.0018263443381298,-0.0042573727786017,-0.0106419561952516,0.0043637280078116,-0.0017020117818117,0.0080640218680287,-0.0016931286187548,0.0022864540042696,-0.0035087824846396,0.0047080341161281,-0.0009540399468938,0.0013555383837606,-0.0023131600067564,0.000987289435503,0.6792887336804735
2,Bee,Apis mellifera,0.0083055,68.89684105777513,40.143673237657175,0.0484404658177796,279.9980310753882,85.16388259463953,478.80295315732377,108.00951310254544,-0.0632099871591086,-0.616581783082395,0.6524822695035462,199332,7191,0.0484404658177796,350945.50000000006,0.5679856273979862,0.3209072953937272,0.997932363763798,5.4167585372924805,0.5680906009442379,0.8229660194192799,0.0904932361217554,-0.9657432379662712,0.2594995150716511,0.42684242984890536,632.8000933064354,4440.118452787399,1357.7301952652524,350.97635239069245,7.471151594518655,6.811325622210505,2,0,248,255,62.0155469267353,101.10645499529676,54,120,41.36732985183435,61.73756303739399,25,36,95,151,2,1,251,255,50.140875524251,98.70829512012016,32,116,41.829105977644645,58.44319693182401,16,42,81,145,0,0,244,255,34.095609335179496,74.86206744281294,18,65,33.49315037038229,56.03765356862747,10,24,53,120,0,0,179,179,24.344229727289147,40.25771881696766,16,27,34.25677276260455,43.17561168619845,11,22,23,36,0,0,255,255,125.6996719041599,75.01557296627136,124.0,64,55.70725991564407,54.683037046225685,82,28,169,118,4,2,251,255,62.065769670700135,102.54842922896114,54,120,41.348136611681646,60.638045489760806,25,43,95,151,0.8698368059407044,0.4933395696990799,-0.0047788699973269,0.0072251959439363,-0.0190002124735285,-0.0035807402154569,-0.0057431828345163,-0.0023944389394343,-0.0057929777034769,-0.0031939616156901,-0.0035661715691154,-0.0058407076864746,-0.0039504605982213,0.0010513616007929,0.0006112594290531,-0.007472493891348,-0.0027769177364739,-0.0039211530029915,0.0021422087732009,-0.0011683653797329,0.7356568210786022
3,Bee,Apis mellifera,0.0217681666666666,69.74277248965848,45.86979189612869,0.0469584893838441,432.4969278718788,109.68876668456468,676.0462867069654,177.9878301977552,-0.0966196381783247,-0.5599187927540163,0.9357142857142857,522436,11824,0.0469584893838441,836641.0,0.6244446542782388,0.2955257357966626,0.9509805985804956,23.14606666564941,0.7942596323127563,0.6075785023175237,0.0989778769404944,-0.4517563756544179,-0.8921413436533386,0.4450961014176663,697.5838571511782,2454.723243713379,765.6302120283771,551.2304139803767,7.611529303978594,7.583198267373505,3,11,255,255,106.61331722928742,126.86069815420372,113,142,58.82587311899781,65.68692218319048,56,59,151,179,0,4,255,255,87.06846771661984,121.47992870980993,84,136,59.98826364933432,63.12818661041781,28,60,136,171,0,0,255,255,62.86262623555804,96.4707925830806,51,97,54.7324502969624,61.15575141467908,14,32,98,142,0,0,179,179,17.4786519305714,23.47516232944781,16,23,13.688876745007953,19.04007443181001,12,16,20,28,0,0,255,255,125.45411303968334,72.60297767690038,123.0,61,61.38182885896753,44.6517287180527,77,41,167,90,3,11,255,255,106.6400707455076,128.0617476327612,113,142,58.82283726318691,64.5834610609629,56,64,151,179,0.912852139590286,0.4082903026590722,-0.0223336555362721,0.0159717244700119,-0.0149964904270271,-0.0114740933227865,-0.0168009286426402,-0.0061624685235008,-0.0114569094175405,-0.0155594119545372,-0.0176030027022198,-0.0060175145339176,-0.0041798348870202,0.0059417907684479,-0.0078363416435408,0.002943982662908,-0.0087954848262092,0.0021324537548822,-0.0092608429694636,-0.0026150381213991,0.945863236234451
4,Bee,Apis mellifera,0.01286725,54.31595310632503,35.55712287846365,0.0435290162795794,328.67542942033907,95.40913373595036,557.031815588178,103.17528138287322,-0.216183007734612,-0.3544741335987988,0.7716049382716049,308814,9442,0.0435290162795794,506147.5,0.6101264947470847,0.2858097494952728,0.904351810474914,9.277783393859863,0.7584991792410702,0.6516739944869849,0.0959875685103042,-0.9904906156595014,-0.1375803048785034,0.42361316872427984,318.9314048826694,1313.945302248001,350.6970220812517,413.37394175419695,7.330869527943678,7.067866016078678,5,14,210,255,86.35933927865965,113.10960270203442,86,104,46.07666021017124,47.88927147870743,44,86,134,152,3,12,201,255,69.58228577719922,113.75352816866156,59,111,45.53840412538581,46.34608024937203,27,87,117,148,0,6,190,255,49.0789892945268,89.64249468135533,35,72,36.61007658287006,49.54613071726493,18,57,83,125,0,0,179,179,20.36053093447836,48.82748520905623,15,34,25.61690687340461,45.11468547454752,12,24,21,38,0,0,255,238,120.0402313366622,69.85005030984941,121.0,60,46.33390444607273,46.335982631846,86,31,155,108,5,17,210,255,86.42453062361163,117.49416162618452,86,113,45.99700043983851,46.20706351749944,44,90,134,153,0.8373170553571824,0.5467176134056569,-0.0136613449880173,-0.0035033026756415,-0.0093135310259432,-0.0047005090689848,-0.0218183482834369,8.083725242652338e-05,-0.0075043443781876,-0.0045226506260229,-0.0085129281260147,0.0055542216470502,-0.0050881757072604,-0.0011235658099966,-0.0049355150184128,-0.0013080641103171,-0.0007171555459496,-0.0031531148213389,-0.0060013094580603,0.0025766203584655,0.6088900477331918
5,Bee,Apis mellifera,0.0089569166666666,75.90797981106653,62.907426550828674,0.0370047232025838,267.67561716552353,94.40153127833952,505.95303399619183,86.41237902397366,0.3064762515658362,-0.5419931277146253,0.8235294117647058,214966,8544,0.0370047232025838,380561.00000000006,0.5648660792882086,0.2819335535848117,0.9229474588096388,15.203451156616213,0.6985711850472452,0.7155405644837247,0.1057970389160604,-0.9281875800707686,-0.3721126391327902,0.3920219129318394,380.2624845334462,1313.8346967697144,477.66016084001416,302.9678044200859,7.54387197377749,7.573260691617318,6,4,255,255,121.95088060437465,122.32870985174964,132,139,62.20554227723179,69.0649373089874,61,48,179,186,0,5,250,255,99.49544579142749,120.02785154732172,88,132,62.67766531070676,61.336917256019184,39,56,162,176,0,0,245,255,79.55371081938539,90.71482752557765,60,93,60.17040783943257,64.76987456823382,24,22,136,150,0,0,179,179,20.13024850441465,28.898317572301977,14,26,30.87349265984713,15.103514905482209,11,21,17,37,0,0,255,255,103.3139612775974,95.98347940137484,93.0,88,58.3796776439436,58.38666715061235,54,42,147,148,6,5,255,255,121.9716931979941,125.49060505862636,132,139,62.18120862653268,65.59663896054944,61,56,179,186,0.8003901275355506,0.5994794773331487,-0.0320744055106535,0.008651366778479,-0.0191269012519476,-0.0134800424659188,-0.0115021993578224,-0.0087627435519563,-0.0086851819848767,-0.0012755254473168,-0.0053350761707897,-0.0030861280700096,-0.0118261062978337,-0.0001438272642276,-0.0051070353847041,-0.004499041562264,-0.0028914279864958,-0.001483106244827,-0.0004489186163478,-0.0029338552990329,0.6414159524446846
6,Bee,Apis mellifera,0.00577325,63.08572723474998,43.13012794106643,0.0440368660221269,211.58123230456312,70.09968169333943,376.8003703267936,74.12432956452746,0.2206440003332155,-0.6316111448512833,0.6256983240223464,138558,6288,0.0440368660221269,218093.0000000001,0.635316126606539,0.2886929834023929,0.7088186896462129,173.12391662597656,0.6814213824837395,0.7318913167226054,0.0997067390304874,-0.978101461294756,0.2081286415010274,0.4319570530726257,307.4327394962311,842.9919791221619,225.63286979503903,257.38203640620765,6.978106710783056,7.304124893078701,7,12,201,227,99.59400395502244,89.9247318749638,107,58,49.59745280475107,61.99260286111896,50,44,144,163,4,13,199,225,83.30677405851701,99.41306761762344,76,74,51.17812544842592,55.9144388395094,32,58,134,162,0,4,204,237,67.20873569191241,74.53496222064031,53,34,48.57822379159549,70.91705976933012,23,25,107,150,0,0,179,179,23.522135134745017,52.94099748875194,14,43,34.37540855824485,33.379555390736336,11,40,21,46,0,0,255,232,97.51403022560947,103.02275231312508,93.0,131,51.95181554970991,62.11905802554036,57,23,137,153,7,13,204,237,99.72994702579425,101.35863545044764,107,75,49.60135130502011,58.148887874425306,50,58,144,164,0.8101704016231118,0.5861944390164798,-0.0098945168534285,0.0093420909937097,-0.0072312288263001,-0.003192763875135,-0.0062064346013684,-0.0024662916098399,-0.0073184516593728,-0.0017932492513309,-0.0076366716357415,-0.0029631476902285,-0.0024104453924683,0.0024791849715989,-0.0055759264064408,-0.0028050437996094,-0.0028412509767985,-0.0015845364548942,-0.0027852266475603,0.0021628726152389,0.4000020338914105
7,Bee,Apis mellifera,0.005498625,49.95694830997503,56.4156528436019,0.0741857125273569,230.78295026738277,72.09080308535593,376.5017820061077,110.90747999366616,0.0730572632947112,-1.2307091536670542,0.6527777777777778,131967,4728,0.0741857125273569,180370.00000000023,0.7316460608748674,0.3746033879039408,0.7236278766661363,71.46810150146484,0.4277467035222709,0.9038986434472784,0.0899627339426441,-0.3373599096717681,-0.9413757439759408,0.48144864722878905,452.20716297626495,728.5239531993866,210.6947602062043,265.18622741855955,7.13450373373395,7.017786723864805,11,8,236,246,91.16385914660484,113.52526762469284,87,80,40.69320830063709,68.58824637329204,62,62,119,198,9,20,232,245,71.60073351671251,130.13411461262854,69,106,35.69488363777494,57.62103977052369,47,87,90,197,4,0,221,255,50.257155197890384,91.18501998049022,41,46,33.302364524767086,81.41131644165988,27,30,64,186,0,0,179,179,32.95500390249077,54.11319659227889,14,44,46.23646866572583,31.455606736219316,11,42,27,46,0,0,241,255,118.81983374631535,110.39796174238572,122.0,139,50.388599730493446,68.45518348540602,80,20,160,167,11,21,236,255,93.18916850424728,132.0250785642872,87,106,39.414540011912266,60.27163997676426,70,87,119,200,0.85169628762075,0.5240357179172357,-0.0288680837977789,-0.0075609138646624,-0.0140836204469296,-0.0031359164406581,-0.0106322905716846,-0.0014237443671191,-0.0077921211452442,0.0001291514155403,-0.0056613662412926,-0.0004341323546028,-0.0050759744014724,0.0005238268231133,-0.0038798986294771,-9.19547659734826e-05,-0.0031020958958999,0.0001749802365358,-0.0029726648481039,0.0001098126508055,0.4254625612644514
8,Bee,Apis mellifera,0.007269875,63.1344351117665,49.30721507575117,0.0641549878774023,273.80095103867694,94.93142478112536,447.6462869514122,88.22282141763041,-0.0546022066890673,-1.155436703719665,0.8805970149253731,174477,5846,0.0641549878774023,302116.0000000002,0.5775165830343308,0.3775854620404203,0.8072897860462985,139.10421752929688,0.5766584114148555,0.8169853588311697,0.0988489989844819,0.6991847998438635,-0.7149409875418364,0.3065129859178683,318.50756053491074,848.2152905464172,293.71732354562005,368.0828481449428,7.098755650329457,6.506476735270025,4,10,167,204,54.76989517242961,96.04862789370878,46,111,34.72325636654845,58.434570537299095,30,32,73,151,4,13,171,197,42.12067493136631,99.44900630303056,31,111,34.35751159946998,53.45985332491048,21,43,50,150,3,0,183,215,35.776715555631974,85.77440318938645,24,89,35.82089171425222,63.20656535032852,15,20,39,147,0,0,179,179,42.10055193521209,59.54707898752107,11,43,57.09267106543776,39.176114954607804,8,35,35,110,0,0,237,255,102.73042292107267,75.62363608975132,99.0,65,56.90577420640357,60.84544556278474,60,16,145,133,4,13,183,215,55.53938341443285,102.69768797939923,47,113,35.3958047532511,56.7118291161193,31,43,73,157,0.7013435229857585,0.7128234443155786,-0.0123571462308983,0.0236117658290603,-0.039467006128558,0.0078295746823388,-0.010369494823068,0.0095774865272506,-0.0096283048717284,0.0063323963405561,-0.0113087869185181,-0.0013210485447048,-0.0057968742648168,0.0103581848365777,-0.0045599756577534,0.0028921964404231,-0.006527963304687,-0.0007449647464405,-0.0061117658667191,0.0054871041805601,0.3479469919260496
9,Bee,Apis mellifera,0.007018,17.35950734422501,51.37488523412841,0.0572945190454805,219.47383073896637,87.78172021275043,390.454912929669,30.519558763637026,0.0319587307901934,-0.8299166828419144,0.9537037037037037,168432,6078,0.0572945190454805,243104.0,0.6928392786626301,0.3253593194313307,0.98411631867859,36.18910598754883,0.807349227458242,0.5900739147959176,0.099974223567001,-0.4466311124352826,-0.894718195525732,0.42059211314874745,390.6024440960451,1149.4671671390531,343.4308237217676,245.86424667711847,6.104833895594249,7.065843055993764,6,6,255,255,87.15482212406194,114.76496829751194,91,113,52.99783995005644,20.871869244626915,35,105,128,123,3,0,255,245,70.93431770684906,107.78743417134784,62,111,52.06478860635684,21.62717317146717,19,100,119,120,0,0,254,255,67.5211301890377,114.68165078353216,54,114,54.569178095773225,26.42412775883772,14,102,115,126,0,0,179,179,37.08972166809158,91.33398519979886,10,83,57.58289825341282,49.62350494121574,6,45,25,143,0,0,255,255,91.52986962097464,35.17581277069138,89.0,23,60.43868131027386,34.12502744096838,34,13,146,46,6,6,255,255,87.81581290966088,119.73641121725603,91,118,53.74901812844026,23.026690546249657,36,109,128,128,0.8618217601035694,0.5072112516614605,-0.0248844463253387,0.0122551516563405,-0.0090597079674737,-0.0024976623094345,-0.0040040410421537,0.0010262148901354,-0.0041130786711136,-0.006888340471884,-0.0037186539815702,-0.0037164970776462,-0.0039609731834012,-0.0058455867191074,-0.0071096979335311,-0.0010281708397513,-0.0042157713089294,-0.0016530509255016,-0.0031658765142803,-0.0006445460315597,0.41408110111345287
10,Bee,Apis mellifera,0.0155495833333333,17.545814014233322,51.26313380931406,0.0633783583089972,330.8186023563588,108.59027207952164,521.0054766861631,76.04149802532505,-0.3882722980953154,-0.8089454769041033,0.8789237668161435,373190,8602,0.0633783583089972,546680.9999999998,0.6826467354819358,0.3266126971441599,0.7448055950052249,167.8235321044922,0.757430437215661,0.652915869602886,0.0983820023446529,-0.8548445190840237,-0.518884233901941,0.5336408666605655,451.4063621844565,1175.1585129499435,327.2717870993896,352.8863063929621,5.877644704600235,7.093990449618802,4,4,255,255,82.40383182829122,114.6367780500203,78,113,52.36369970057109,22.33529048479405,34,106,122,120,0,0,255,255,63.18106594496101,108.0922422451444,47,112,48.852400699245095,22.99801637576624,17,103,112,120,0,0,255,255,59.6820172030333,114.35558765656472,43,113,50.48066370207032,28.77072977231592,12,104,105,123,0,0,179,179,40.68481470564592,89.0348120630758,11,83,61.65318989936672,48.85903804245923,7,45,19,141,0,0,255,255,105.027908036121,33.44075294125614,106.0,20,58.89699159283949,37.73691529018963,52,12,156,38,4,4,255,255,83.01798547656689,119.4446508013566,79,117,53.102303381345045,25.49410201973278,34,110,122,125,0.7937245668765184,0.6082773314341767,-0.0476508158916708,-0.0010171295201525,-0.0155066018131268,4.5980977754407214e-05,-0.0240960936742723,0.0102960877087427,-0.0067056881182712,0.0090743770751324,-0.0025266639014251,0.0006803131040554,-0.0016265636819794,0.0025690238319548,-0.0033084551231122,0.0047095683910483,-0.0004564699744296,0.0004564769159207,-0.005345604397704,0.0037290621504748,0.34949413868288914
